2018-06-06_17.38.26: ,EXPERIMENT SETTING
2018-06-06_17.38.26: ,Workspace size: (240  240), Resolution: 24, Num. of objects: 4
2018-06-06_17.38.26: ,Object 1 located at (15.6611;72.6775)    Size: (50  50)
2018-06-06_17.38.26: ,Object 2 located at (83.7388;-2.1631)    Size: (50  50)
2018-06-06_17.38.26: ,Object 3 located at (-89.091;-63.5135)    Size: (50  50)
2018-06-06_17.38.26: ,Object 4 located at (-87.4028;7.74533)    Size: (50  50)
2018-06-06_17.38.26: ,DATA HEADER
2018-06-06_17.38.26: ,Command #, Type, Num. Kernels, Relation, Object ID, Qualifier, Pointing, User Orientation, Initial Pose, Final Pose, Fuzzy Pertinence, Path Found, Gest. Proc. Time, Mapping Time, Montecarlo Time, RRT* Time
2018-06-06_17.39.57: ,1, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.40.08: ,2, GO, 1, FRONT, 3, NORMAL, Not detected, -0.293695 deg., (7.64286  -50.3376), (-87.5706  -91.4253), 0.932386, yes, 0.119033, 0.0063294, 0.0164678, 6.49933
2018-06-06_17.40.25: ,3, , 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.40.29: ,4, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_17.40.47: ,5, GO, 1, BEHIND, 1, NORMAL, Not detected, -0.293695 deg., (-90.9  -95.1678), (17.2998  106.213), 0.92998, yes, 0.146356, 0.00605228, 0.0199863, 5.19835
2018-06-06_17.41.14: ,6, GO, 2, RIGHT, 2, EXACTLY, Not detected, -0.293695 deg., (15.1021  119.383), Invalid, nan,  , 0.176859, 0.00687874, 0.0218346,  
2018-06-06_17.41.34: ,7, GO, 1, LEFT, 2, EXACTLY, Not detected, -0.293695 deg., (15.1042  119.382), (57.4797  -1.02888), 0.890583, yes, 0.178017, 0.00762883, 0.0181158, 4.84753
2018-06-06_17.42.00: ,8, GO, 2, FRONT, 1, NORMAL, (-70.6813  19.7524), -0.293695 deg., (56.2928  -4.24602), (2.25034  6.9199), 0.419641, yes, 0.157627, 0.00696558, 0.024748, 5.37256
2018-06-06_17.42.37: ,9, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
