2018-06-06_17.57.18: ,EXPERIMENT SETTING
2018-06-06_17.57.18: ,Workspace size: (240  240), Resolution: 24, Num. of objects: 4
2018-06-06_17.57.18: ,Object 1 located at (15.6468;72.7123)    Size: (50  50)
2018-06-06_17.57.18: ,Object 2 located at (84.2493;-2.14729)    Size: (50  50)
2018-06-06_17.57.18: ,Object 3 located at (-89.1855;-62.392)    Size: (50  50)
2018-06-06_17.57.18: ,Object 4 located at (-87.3639;7.75426)    Size: (50  50)
2018-06-06_17.57.18: ,DATA HEADER
2018-06-06_17.57.18: ,Command #, Type, Num. Kernels, Relation, Object ID, Qualifier, Pointing, User Orientation, Initial Pose, Final Pose, Fuzzy Pertinence, Path Found, Gest. Proc. Time, Mapping Time, Montecarlo Time, RRT* Time
2018-06-06_18.01.09: ,1, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.01.16: ,2, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.01.26: ,3, GO, 1, FRONT, 2, NORMAL, Not detected, -128.808 deg., (26.3945  -92.9794), (53.4976  16.3136), 0.923275, yes, 0.11759, 0.00619648, 0.0239773, 4.31804
2018-06-06_18.01.31: ,4, , 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.01.41: ,5, , 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.01.50: ,6, GO, 2, FRONT, 2, NORMAL, Not detected, -128.808 deg., (56.667  16.4007), (56.7743  13.7129), 0.923261, yes, 0.171487, 0.00595869, 0.0214324, 4.94871
2018-06-06_18.02.03: ,7, , 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.02.06: ,8, , 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.02.39: ,9, GO, 3, RIGHT, 4, NORMAL, Not detected, -2.6519 deg., (56.6676  16.4021), (-8.94037  -2.70791), 0.574808, yes, 0.151277, 0.00688995, 0.0215392, 4.56197
2018-06-06_18.03.03: ,10, GO, 4, RIGHT, 3, NORMAL, Not detected, -2.6519 deg., (-14.4237  3.48792), (-9.4305  -20.6626), 0.554647, yes, 0.147566, 0.00866727, 0.0218694, 4.60004
2018-06-06_18.03.20: ,11, , 4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.03.30: ,12, GO, 5, RIGHT, 3, EXACTLY, Not detected, -2.6519 deg., (-16.7084  -20.2335), (-5.00679  -21.3283), 0.554647, yes, 0.184341, 0.00690088, 0.0247322, 4.5219
2018-06-06_18.04.03: ,13, , 5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.04.11: ,14, , 5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.04.18: ,15, , 5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.04.30: ,16, GO, 6, BEHIND, 4, NORMAL, Not detected, -2.6519 deg., (-16.706  -20.233), (-24.4174  42.261), 0.31369, yes, 0.140501, 0.0065158, 0.0212431, 4.49276
2018-06-06_18.04.57: ,17, , 6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.05.23: ,18, , 6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.05.38: ,19, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_18.05.59: ,20, GO, 1, FRONT, 2, NORMAL, Not detected, -2.6519 deg., (-37.6236  38.8099), (84.0248  -35.1644), 0.860686, yes, 0.162646, 0.00675895, 0.0246804, 4.9349
2018-06-06_18.06.31: ,21, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
