2018-06-06_19.10.27: ,EXPERIMENT SETTING
2018-06-06_19.10.27: ,Workspace size: (240  240), Resolution: 24, Num. of objects: 4
2018-06-06_19.10.27: ,Object 1 located at (15.5833;72.7469)    Size: (50  50)
2018-06-06_19.10.27: ,Object 2 located at (84.0259;-1.52854)    Size: (50  50)
2018-06-06_19.10.27: ,Object 3 located at (-89.1659;-62.4054)    Size: (50  50)
2018-06-06_19.10.27: ,Object 4 located at (-86.383;8.05022)    Size: (50  50)
2018-06-06_19.10.27: ,DATA HEADER
2018-06-06_19.10.27: ,Command #, Type, Num. Kernels, Relation, Object ID, Qualifier, Pointing, User Orientation, Initial Pose, Final Pose, Fuzzy Pertinence, Path Found, Gest. Proc. Time, Mapping Time, Montecarlo Time, RRT* Time
2018-06-06_19.10.55: ,1, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_19.11.03: ,2, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_19.11.19: ,3, GO, 1, BEHIND, 1, NORMAL, Not detected, 0.975253 deg., (6.14441  -12.2306), (15.7465  102.172), 0.930286, yes, 0.14609, 0.00732235, 0.0152746, 4.76962
2018-06-06_19.11.34: ,4, GO, 2, FRONT, 4, NORMAL, Not detected, 0.975253 deg., (6.1453  -12.2304), Invalid, nan,  , 0.143883, 0.00646449, 0.0201324,  
2018-06-06_19.11.46: ,5, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_19.11.54: ,6, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_19.11.57: ,7, , 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2018-06-06_19.12.30: ,8, GO, 1, FRONT, 1, NORMAL, Not detected, 0.975253 deg., (6.14506  -12.2318), (18.3122  40.3024), 0.947915, yes, 0.139762, 0.00603907, 0.0222852, 6.02176
2018-06-06_19.12.44: ,9, GO, 2, FRONT, 1, NORMAL, (-95.1029  115.135), 0.975253 deg., (6.14455  -12.2307), (-31.6447  42.4705), 0.55297, yes, 0.197501, 0.00604225, 0.0295456, 4.67481
